name,img,bio
Shanel Edwards,/img/artistvendor/shanel.jpeg,"Shanel Edwards is a Black queer femme dancer, photographer, poet, and event organizer in the Philadelphia Area. She is currently dancing and curating events with D2D: The Company and is influenced heavily by hip-hop street styles and contemporary movement. Shanel Edwards is a freelance photographer. And with her brand Mind Body Soul Photography she has photographed for APIARY Magazine, Her Philly Moves, Temple University and many artists and events in the Northeast area. Shanel has performed in shows for The Philly Pigeon, Babel Poetry Collective, Brave New Voices Competition, World of Dance, Prelude Urban Dance Competition and Poet Laureate Yolanda Wisher. Shanel's artistry reflects her lifestyle of radical softness and honesty and highlights the experiences of Black/femme/queer/women."
Organic Soul Project,/img/artistvendor/osp.jpg,"Organic Soul Project is a LLC., organized under a charitable movement  bringing about healthiness and awareness to the urban communities. Organic Soul NETWORK is a marketing branch that helps remind communities of culture and healthy approaches to life. They strive to provide essentials for healthy thinking, living, and self-maintenance. Their mission is to provide unique and informative resources regarding natural and pure living, as well as sustainable practices. There are multiple factions of Organic Soul. 1. VILLAGE LIFESTYLE which focuses on connecting through social media and networking. 2. HOLISTIC TOUR who headed the Community Engagement Cultural Awareness project in 2016 which focuses on awareness of arts and crafts showing that we as a people are still talented in craftsmanship. 3. ORGANIC SOUL MARKET CAMPAIGN  whose focus is on rehabbing our environment by working to build storefronts all over the city. 4. ORGANIC SOUL CAFE is a faction that focuses on integrating an Organic Soul Cafe into already established businesses. 5. ORGANIC SOUL HEALTH AND BEAUTY who works in partnership with Amway to deal with everything from cosmetics to vitamins that are known to be Halal, Kosher, organic, and natural, while simultaneously giving youth an opportunity to be an IBO of Organic Soul or Amway/Artistry.  6. ORGANIC SOUL CATERING SERVICES which creates food that is fun and acceptable to everyone. 7. YOUTH INITIATIVE PROGRAM-ORGANIC SOUL_CREATIVES focuses on giving local youth the teachings of life. By teaching them about about crops, spices, herbs and explore food handling for customer service. To support go to their instagram organicsoul_catery or go to their email to register for a pledge of $5 a month to the allowance of the teens wherever they are, you are able to save an 30% discount on our entrée selections."
Vessna Scheff,/img/artistvendor/vessna.png,"Vessna Scheff -to being bold, brave & full of color Through my art, I reclaim who I am, what I have to say, and how I want to say it. Art, has always been my space of freedom. Art allows me to be as big, loud and powerful as I want to be- to encourage others to live boldly, challenge structures, and create experiences that connect across boundaries. Freedom in art for me involves learning to recognize disenfranchisement, detaching its weight from my shoulders, to let it be carried by collective struggle. I am inspired by stories of resilience and revolution, in particular by Malcolm X, Assata Shakur and Angela Davis. The freedom I achieve through creating comes from my passion for beauty and the power of people. Using a combination of watercolors on wood, watercolor on Dura-lar, poetry, movement and voice, I orchestrate performances where we may challenge our fears, craft our freedom and nurture our empowerment. Listen for a taste- a song about being bold in your decisions despite what others might pressure you to believe. You got this:: Good By Me Love, Vessna"
Yvonne Harris,/img/artistvendor/yh.jpg,"Yvonne Harris has been a Licensed Professional Esthetician and Educator for over 10 years.  Her affinity for skin care and respect for the power and balance of nature led her to formulate TSYI Naturals Skincare; a result oriented and phenomenally effective skin care product line.  TSYI Naturals Skincare Products are handcrafted utilizing food-grade, virgin, organic and non-GMO ingredients."
The Spicy Belly,/img/artistvendor/tsb.png,"The Spicy Belly Offers A Fresh And Focused Look Into The Delicious Marriage Of Jamaican And Korean Flavors In Manayunk Neighborhood Of Philadelphia. Check out The Spicy Belly at http://ow.ly/LGdJ30hIW4w"
Daniella Uchendu-Oji,/img/artistvendor/daniella.jpg,"Daniella Uchendu-Oji. Drexel University, Film and video major and visual Effects minor. She is focused more on photography though she is involved in other aspects of art. She is one photographer we know who paints on her backdrops to pass her messages."
The Pink Lapel,/img/artistvendor/tpl.jpg,"The Pink Lapel (TPL) is a handmade textile accessories line based out of The City of Brotherly Love. The Pink Lapel was founded in 2014 by April Burks along with the help of her husband Jimmy Burks, The Pink Lapel’s Operations Manager. The Pink Lapel Line includes handmade bow ties, neckties and pocket squares in unique and uncommon prints and fabrics. TPL has recently expanded to women's accessories including earrings, headwraps and other accessories in fun and funky patterns. TPL prides itself on being a reflection of its customers, which is why they offer such an array of prints that is sure to fit almost anyone’s personality."
Mila Romero,/img/artistvendor/mila.png,"Mila Romero is a Latina artist, eclectic witch, folk herbalist, healer, plant person. Her work is driven by intuition, the Divine Feminine and multiple veins of healing arts. Originally from South Brazil, Mila has been in the U.S. for 7 years. Her travels are valuable as she integrates ancestral folk learning of plants, healing and magic practices with her western education. The challenges of transferring ancestral knowledge and root connections to a new region, has been one of the inspirations for her current work in community holistic health. Bringing together multiple mediums of performance art, activism, folk herbalism and healing arts to create local resilience, and culture - reminding the Western world to honor contributions to healing practices by People of Color and People of Indigenous heritage. Member of United Plant Savers, Herbalists Without Borders and American Massage Therapy Association."
Cameron Cephas,/img/artistvendor/cameron.jpg,"Cameron Cephas (@JoeCeph) is a 21 year old musician with music in his veins. From backing other artists to his own band WatchParty, his love for music has had him chasing his goal since 8th grade. At the age of five he was introduced to the drums through his brother and since then he’s been pushing to define his sound. Cameron is ambitious and let’s nothing stop him from getting better at doing what he loves. To him it’s not about how big the audience is, or how loud the applause, it is about doing what he loves most and wanting to inspire the next generation."
Alana,/img/artistvendor/alana.png,"Alana is a mixed media artist currently residing in Philadelphia. She draws inspiration from many pop culture artists--especially Keith Haring and enjoys creating colorful and bold pattern work paintings. Currently she finds interest in working with natural materials such as leaves and rose petals."
